"inst_name","grad_rate_6yr","pct_pell","pct_loan","cost_attendance","tuition_in_state","tuition_out_state","pct_admitted","enrollment","stud_fac_ratio","retention_rate","avg_fac_salary","instr_exp_per_stud","pct_full_time_fac","pct_first_gen","avg_age_entry","pct_female","pct_hispanic"
"Alabama A & M University",0.2403,62.98,74.54,27153,10024,18634,57.95,6124,19,0.6989,8699,7254,64.39,36.58280922,"20.283741368",56.40301318,2.06
"University of Alabama at Birmingham",0.6423,34.02,40.27,28145,9098,22562,88.18,11635,18,0.8009,12612,17855,77.04,34.1223671,"23.60797466",63.90907397,8.55
"University of Alabama in Huntsville",0.6429,24.64,32.55,27392,12132,26408,68.57,6591,17,0.8425,10639,9877,65.9,31.01321586,"22.727919632",47.63499372,8
"Alabama State University",0.3034,71.34,74.2,23586,11248,19576,97.55,3477,15,0.6975,8153,10723,64.77,34.34343434,"20.130990415",61.34185304,1.44
"The University of Alabama",0.7337,18.4,32.39,33382,12180,34172,76.65,33227,19,0.8949,11419,9728,79.04,22.57126887,"21.137701396",61.52524168,7.55
"Auburn University at Montgomery",0.326,42.35,42.47,21353,9700,20668,91.57,2542,13,0.6757,8974,7192,75.66,38.189609,"22.199804114",69.29480901,1.73
"Auburn University",0.8195,12.53,26.16,34919,12890,34922,45.92,26816,21,0.9478,12324,10067,86.66,17.26471191,"20.516795866",53.1504671,4.64
"Faulkner University",0.374,45.62,55.83,37626,23920,23920,73.07,1549,14,0.6447,7049,8533,60.14,43.00319489,"28.260475651",63.87315968,5.49
"Herzing University-Birmingham",0.125,67.71,80.27,27750,13450,13450,93.26,442,14,0.6667,7167,6265,47.37,52.09032652,"31.289940828",81.35465189,2.04
"Huntingdon College",0.4798,40.07,70.67,40908,29070,29070,69.49,879,15,0.6699,7725,7419,81.01,34.56,"23.017751479",47.04142012,5.46
"Jacksonville State University",0.5472,42.6,44.22,24257,12894,23334,77.69,7036,19,0.6457,8074,6997,64.52,36.37702504,"22.62058319",58.86792453,5.24
"University of West Alabama",0.347,58.17,65.73,22758,10990,20090,42.65,2974,19,0.6488,8001,8131,34,40.3210576,"22.259482759",55.77586207,2.56
"University of Mobile",0.5685,25.65,36.79,41115,26910,26910,77.89,1307,14,0.7396,5674,8091,100,32.42857143,"23.917989418",67.32804233,3.83
"University of Montevallo",0.541,32.38,41.45,27398,13948,26968,53.85,2151,13,0.7275,9085,15957,71.14,32.52375924,"21.02364532",68.27586207,7.53
"University of North Alabama",0.5491,24.35,32.3,23786,12120,22320,87.31,5811,18,0.7969,9167,7717,59.43,36.326024,"21.425309598",60.13931889,2.96
"Oakwood University",0.4462,44.37,56.91,40176,22512,22512,45.22,1153,14,0.7113,5513,9746,49.76,17.623498,"21.73015873",58.60805861,7.63
"Samford University",0.7704,11.09,26.88,57456,40150,40150,82.36,4206,14,0.9287,10188,16043,98.98,13.80552221,"21.151869159",65.88785047,4.95
"University of South Alabama",0.5267,37.96,47.33,25476,10116,19092,70.96,8879,19,0.7574,7761,11135,65.16,33.4257975,"21.947266881",62.29367631,5.67
"Spring Hill College",0.521,31.61,43.83,39936,24054,24054,76.57,782,11,0.7023,7892,9493,49.25,25.16339869,"19.902140673",64.52599388,9.72
"Stillman College",0.25,76.3,67.36,26107,12126,12126,62.25,706,13,0.5281,6164,5653,57.69,41.05058366,"21.027729636",46.10051993,0.28
"Talladega College",0.3091,66.62,63.55,25185,15650,15650,85.42,701,17,0.5441,6650,8403,48.86,39.80582524,"21.151639344",48.97540984,6.42
"Troy University",0.503,42.82,66.79,23165,10176,20352,96.04,9805,16,0.7121,7612,8209,48.36,38.98457122,"25.749796913",65.10154346,5.15
"Tuskegee University",0.5498,57.67,59.13,43454,25386,25386,48.68,2630,14,0.8068,7397,13438,92.45,23.06438468,"19.723193916",65.09505703,0.15
"University of Alaska Southeast",0.2805,14.3,11.44,21043,7056,20640,63.29,907,9,0.7647,9276,20844,51.7,39.51434879,"26.966861598",69.78557505,9.92
"Arizona State University Campus Immersion",0.6804,28.99,26.75,30111,12223,33139,89.89,64674,18,0.8664,12684,14734,72.98,38.13179205,"24.7478311",55.68306611,26.86
"University of Arizona",0.6752,25.7,25.52,29423,13926,42278,86.14,42537,20,0.8278,12347,15271,76.58,31.40729569,"21.308737695",56.28539071,28.15
"Embry-Riddle Aeronautical University-Prescott",0.6776,18.25,35.42,62798,44149,44149,76.58,3218,17,0.8216,10066,17147,81.4,35.54592721,"25.385231459",18.16434407,15.82
"Grand Canyon University",0.4346,45.94,53.01,32702,17850,17850,78.91,73371,20,0.7205,7563,2400,10.06,47.44080533,"31.015651921",74.3284234,24.59
"Northern Arizona University",0.6132,31.26,31.58,29933,13009,29881,89.61,22903,19,0.7548,9847,7753,71.84,38.68625756,"24.125097428",63.85814497,27.11
"Prescott College",0.5556,41.63,51.75,48532,35685,35685,94.51,219,8,0.7391,4764,6871,61.33,23.19587629,"27.980676329",69.56521739,8.68
"Arizona Christian University",0.3987,33.88,70.08,54792,35098,35098,70.62,1165,16,0.5372,5223,3977,26.56,38.25503356,"22.759109312",28.94736842,27.73
"University of Arkansas at Little Rock",0.4165,41.18,36.19,22519,9748,22158,58.78,4949,13,0.7647,8312,9265,100,39.10404624,"25.515523089",64.64909992,10
"Lyon College",0.4676,40.61,64.33,44978,31000,31000,62.76,648,11,0.7131,6336,19293,79.69,30,"19.920110193",43.25068871,6.48
"University of Arkansas",0.7052,17.79,33.29,27767,10104,29966,74.3,28677,20,0.8637,10657,10926,82.32,25.99614872,"21.283907238",55.88193956,11.84
"University of Arkansas at Pine Bluff",0.4043,69.5,57.53,21129,9412,17992,41.18,1807,12,0.6416,6201,12263,82.46,36.77375256,"21.153024911",59.60854093,3.1
"Arkansas State University",0.554,38.38,42.44,25082,8090,14522,82.26,9110,17,0.7812,7579,5703,100,38.82667965,"23.319087044",61.08749161,5.32
"Arkansas Tech University",0.4856,33.89,26.37,22808,8674,14668,95.89,5388,17,0.741,7047,6524,99.35,45.74780059,"23.041621268",56.61364132,12.27
"University of Central Arkansas",0.5353,37.98,39.93,25029,10523,18023,89.49,7762,15,0.7331,7499,9836,75.79,34.59589224,"21.152542373",61.65561287,8.75
"Central Baptist College",0.3411,39.82,46.73,30605,21330,21330,63.46,484,9,0.6275,5523,4192,32.47,34.55497382,"24.791962175",46.09929078,11.16
"Harding University",0.6879,23.81,43.76,39534,26262,26262,70.52,3382,13,0.864,8008,11670,65.55,20.54794521,"20.986959506",56.82910089,4.82
"Hendrix College",0.7235,23.19,45.28,55013,38200,38200,55.65,1100,11,0.7964,8185,15797,100,19.20668058,"19.430555556",50.5952381,8.27
"John Brown University",0.7179,23.7,33.21,44710,31756,31756,76.14,1471,15,0.8148,7468,9542,95.58,28.88283379,"24.157142857",61.55844156,13.39
"Ouachita Baptist University",0.614,23.41,45.91,47321,34500,34500,67.52,1602,14,0.8254,7702,10607,95.04,23.54892206,"19.762951334",49.45054945,6.3
"University of the Ozarks",0.5148,39.84,43.64,38666,25950,25950,59.51,767,14,0.6862,6231,15061,96.3,34.6875,"20.134831461",48.59550562,13.69
"Williams Baptist University",0.2564,54.38,46.64,33597,21070,21070,83.42,478,14,0.7015,5570,4360,100,32.35294118,"20.942307692",43.46153846,3.56
"Southern Arkansas University Main Campus",0.4882,48.2,62.78,24951,9960,15690,75.33,2708,16,0.6616,7469,6019,60.69,42.09215442,"21.33203125",56.19419643,5.8
"University of Arkansas-Fort Smith",0.3788,39.1,25.65,19048,7334,12182,80.46,4091,18,0.698,7331,7595,60.17,48.40221559,"22.930601698",56.36766334,20.04
"Art Center College of Design",0.7917,21.6,32.95,75649,54170,54170,74.54,2017,9,0.8594,9383,26617,19.08,24.28842505,"22.846570397",55.23465704,9.27
"Azusa Pacific University",0.6179,35.15,47.76,56313,44458,44458,88.43,2759,9,0.8402,10419,10283,100,37.98259924,"26.05728789",72.58883249,39.91
"Biola University",0.676,26.04,43.56,62757,48984,48984,74.35,3474,15,0.839,10336,12866,100,23.55072464,"20.36529372",66.77920324,24.09
"California Baptist University",0.6188,42.06,60.51,54038,41228,41228,84.88,8179,21,0.7436,10941,9630,48.45,41.60798122,"24.09567021",66.06170599,43.81
"California College of the Arts",0.6122,25.09,48.03,79776,60226,60226,91.1,990,8,0.867,9785,24140,22.42,24.41860465,"21.543243243",61.89189189,16.46
"California Lutheran University",0.696,31.09,49.85,68426,52560,52560,75.67,2296,13,0.7878,10794,12168,100,35.38587849,"22.313108614",61.72284644,40.98
"California Polytechnic State University-San Luis Obispo",0.864,19.24,24.87,32265,13596,34665,31.32,21996,19,0.9555,12673,11438,69.02,24.80620155,"20.141066545",50.29626253,25.25
"California State University-Bakersfield",0.498,60.65,23.26,19522,8090,20690,93.85,8577,20,0.7883,11613,8900,52.01,58.17223199,"23.174311927",64.26605505,69.56
"California State University-Stanislaus",0.5345,55.19,20.86,19739,8246,20846,98.14,8385,18,0.8246,11926,10889,54.11,59.94566858,"23.210428737",67.71726535,62.84
"California State University-San Bernardino",0.549,57.62,24.3,17427,8093,20693,93.74,15023,22,0.7959,11988,9661,48.85,59.68578162,"22.733373713",62.47122956,72.9
"California State Polytechnic University-Pomona",0.6843,46.33,24.58,23955,7780,20380,75.17,25042,25,0.8738,12943,8485,47.93,49.27816639,"22.382135827",49.47096457,55.25
"California State University-Chico",0.6278,42.52,32.41,26283,8472,21072,92.72,13631,23,0.8163,11664,8907,55.66,47.34012975,"22.35678392",57.45917085,38.89
"California State University-Dominguez Hills",0.4279,63.33,19.65,23191,7449,20049,93.3,12538,21,0.7365,11789,9329,46.78,59.05017921,"25.305068383",65.72807723,70.84
"California State University-Fresno",0.5696,56.97,19.09,20095,7350,19950,95.26,21605,22,0.8157,11540,9435,54.84,53.24517404,"22.340420892",62.11972522,63.21
"California State University-Fullerton",0.7018,48.07,21.98,18269,7470,20070,90.52,38546,26,0.8242,12295,7992,50.37,49.44552529,"22.855964516",59.80079371,56.2
"California State University-East Bay",0.4795,44.4,26.1,22850,7583,20183,97.39,9809,22,0.7569,12805,8602,48.07,50.92975207,"24.616321762",65.9212283,40.98
"California State University-Long Beach",0.6888,50.18,23.8,22679,7350,19950,46.27,35924,23,0.868,12276,8963,45.24,48.62716763,"22.631205088",59.01544561,52.46
"California State University-Los Angeles",0.5298,66.3,17.94,18403,7160,19760,91.25,19562,21,0.7185,12690,9018,41.56,61.53393718,"23.049723757",60.57798555,77.65
"California State University-Northridge",0.5695,56.07,21.39,20485,7458,20058,93.45,32691,25,0.7344,12456,8003,43.25,53.86728094,"22.681205723",57.94554799,57.91
"California State University-Sacramento",0.5629,49.13,22.82,22945,8018,20618,93.99,28350,24,0.8191,11717,8604,49,49.04833191,"23.194871795",59.33941764,38.36
"University of California-Berkeley",0.9284,28.64,16.83,45619,16347,50547,10.98,33068,18,0.9679,21246,23741,69.57,34.58005249,"21.506537388",54.64962539,22.1
"University of California-Davis",0.8567,31.35,19.7,41238,16774,50974,41.83,32253,22,0.9281,18357,34097,87.59,40.83114282,"21.202801724",62.67241379,25.1
"University of California-Irvine",0.8687,36.1,20.33,38632,15722,49922,28.57,30197,19,0.9405,19250,29852,83.18,43.98111723,"20.456399515",56.60897365,26.83
"University of California-Los Angeles",0.9262,28.24,18.77,38614,15203,49403,8.97,33475,20,0.9731,22848,73875,75.12,38.08913934,"21.083592708",60.31569586,24.24
"University of California-Riverside",0.7596,46.95,31.03,38942,15606,49806,76.39,22593,22,0.876,17096,16225,89.47,48.34699068,"20.26240301",57.68869034,39.89
"University of California-San Diego",0.8605,34.2,21.39,38701,16758,50958,26.71,34948,19,0.9402,19117,26067,87.66,39.57082833,"20.78065032",51.98560768,26.51
"University of California-Santa Barbara",0.8303,27.85,18.11,41573,16414,50614,32.97,23113,17,0.93,20677,17118,89.94,42.40058108,"20.176479775",57.78541309,27.21
"University of California-Santa Cruz",0.7509,31.57,28.36,41179,16005,50205,65.79,17940,22,0.8795,17994,13595,84.91,36.74975075,"20.455008787",54.30579965,28.63
"California Institute of the Arts",0.6667,24.24,36.24,77560,58996,58996,32.34,860,7,0.8239,10095,34675,44.74,15.73426573,"21.19205298",52.64900662,17.21
"California State University Maritime Academy",0.5972,25.1,39.29,29853,9944,22544,95.01,804,11,0.7746,12097,22010,78.95,19.94750656,"21.15920398",19.15422886,22.14
"Chapman University",0.8188,19.39,60.34,83146,64984,64984,65.43,7478,12,0.9181,13611,21557,100,17.87741203,"19.902770234",64.74741988,19.87
"Charles R Drew University of Medicine and Science",0.2963,53.59,64.56,39834,23000,23000,38.74,282,4,0.5,9291,23423,27.08,47.70642202,"28.516129032",67.74193548,17.73
"Concordia University-Irvine",0.5831,24.23,52.35,58682,43480,43480,65.99,1536,13,0.7483,8069,9280,100,28.38633687,"22.589552239",67.27078891,30.21
"San Diego Christian College",0.1967,45,35,31745,28012,28012,30.81,87,9,0.8571,7898,9990,19.35,40.83769634,"26.783216783",54.31235431,26.44
"University of Silicon Valley",0.2874,49.74,67.46,35722,22480,22480,51.18,455,13,0.6875,7964,5946,6.9,27.90697674,"21.332191781",34.24657534,26.59
"Dominican University of California",0.7805,31.9,57.55,71751,52161,52161,83.5,1114,8,0.8548,10036,14134,29.83,30.6122449,"21.482954545",72.91666667,32.32
"Fresno Pacific University",0.5,58.35,66.27,44249,36660,36660,64.07,1544,10,0.7157,8399,7528,100,46.57631954,"28.673539519",74.51317297,61.85
"California State Polytechnic University-Humboldt",0.4855,42.87,33.8,25170,8250,20850,98.2,5612,16,0.7599,11900,18064,51.76,44.061178,"22.30773496",58.71915719,28.6
"Life Pacific University",0.404,53.79,65.91,35062,22118,22118,95.8,456,12,0.7302,6254,6452,22.54,37.14285714,"21.878594249",55.2715655,44.08
"University of La Verne",0.6312,51.4,64.11,62278,49470,49470,71.17,3050,10,0.6445,10550,9908,29.74,50.62086093,"26.103714085",62.43868255,63.11
"Laguna College of Art and Design",0.5172,29.9,43.43,57989,37500,37500,94.32,746,9,0.8421,8099,11485,9.35,21.9895288,"21.415458937",71.98067633,23.99
"La Sierra University",0.5973,47.25,58.57,51459,37710,37710,91.5,1116,12,0.7729,8396,13162,64.29,39.61584634,"21.089770355",63.3611691,53.94
"The Master's University and Seminary",0.6773,21.24,38.12,54845,39020,39020,84.02,1622,13,0.8467,8083,8426,24.29,22.82608696,"22.258474576",45.97457627,20.1
"Loyola Marymount University",0.7887,13.22,29.47,83943,62357,62357,45.08,7094,10,0.8858,13834,19325,58.24,22.40373396,"20.600768808",59.91213619,25.22
"Menlo College",0.535,31.05,43.8,72020,53630,53630,68.47,752,14,0.6994,10344,8662,100,40.06849315,"20.857594937",50.94936709,32.18
"Mount Saint Mary's University",0.5325,57.1,67.74,66726,49564,49564,73.13,1719,8,0.7114,9605,13438,29.54,49.72592013,"23.69490485",93.12461633,57.48
"Musicians Institute",0.5281,19.87,21.67,52369,34322,34322,77.95,759,6,0.8,2761,6732,29.5,34.11552347,"24.488817891",21.24600639,7.91
"Newschool of Architecture and Design",0.619,52.11,53.99,62004,30291,30291,100,182,8,0.625,6140,7187,12.8,37.87878788,"24.364238411",35.09933775,41.21
"Occidental College",0.8088,16.56,37.15,84800,66274,66274,44.17,1877,9,0.8985,12349,24676,74.54,17.59259259,"19.459507042",58.45070423,17.63
"Otis College of Art and Design",0.663,33.63,44.49,75861,56488,56488,81.76,1223,9,0.7447,9491,20350,16.72,24.19354839,"21.628742515",61.67664671,23.39
"Hope International University",0.4944,44.26,56.83,51784,38050,38050,32.98,564,13,0.5244,7734,5305,31.67,38.63134658,"22.495145631",54.36893204,29.26
"Pacific Union College",0.5828,34,58.17,49404,37173,37173,47.3,805,12,0.8864,6738,19380,100,25.72463768,"21.49078727",61.64154104,30.43
"University of the Pacific",0.6905,36.12,40.25,71515,57080,57080,71.32,3204,13,0.8846,11952,22165,54.71,35.0177305,"20.865177196",59.01386749,28.53
"Pepperdine University",0.8335,20.25,37.31,93512,69918,69918,62.86,3553,12,0.8757,14314,10390,46.78,17.61658031,"20.930761622",58.7537092,19.42
"Pitzer College",0.8339,10.55,20.02,86466,65192,65192,25.16,1227,10,0.938,12503,26633,80.15,23,"20.453703704",58.33333333,12.06
"Point Loma Nazarene University",0.7717,21.44,49.87,60488,46250,46250,83.68,3188,13,0.8554,11862,11365,100,29.31174089,"23.331598513",68.55018587,26.98
"Pomona College",0.932,19.53,9.38,85300,65420,65420,7.09,1666,7,0.9755,15085,45049,94.2,29.91803279,"19.430188679",50.18867925,17.23
"University of Redlands",0.6727,36.45,55.41,76630,60878,60878,82.71,2049,10,0.8402,10565,14333,99.57,35.23459062,"23.381469115",59.2654424,45.1
"San Diego State University",0.7643,31.74,23.25,27780,8728,21328,36.19,35377,27,0.9063,13042,8619,50.05,41.19461928,"22.602686728",58.42020419,36.74
"University of San Diego",0.8367,20.92,32.4,78720,59486,59486,52.38,5671,13,0.914,13201,18725,54.46,24.86231314,"20.776548673",57.30088496,27.79
"San Francisco State University",0.5037,42.22,23.15,26488,7950,20550,96.44,18639,19,0.827,13199,10604,53.16,48.20712432,"22.6117357",58.40236686,40.08
"University of San Francisco",0.7006,27.96,46.94,80141,60492,60492,61.71,5287,11,0.8369,14860,20560,39.82,28.01204819,"20.968253968",67.55368814,22.41
"William Jessup University",0.5598,31.72,41.1,53703,37150,37150,93.33,1294,10,0.7688,8173,11189,30.43,32.68892794,"24.384244373",62.21864952,25.66
"San Jose State University",0.6922,35.24,19.52,26593,8410,21010,84.61,27601,25,0.8684,12896,9020,43.69,49.04813496,"22.704903455",52.1976626,32.5
"Santa Clara University",0.8792,11.27,37.41,82026,61293,61293,48,6552,11,0.9392,14682,22421,71.82,16.50589496,"20.242943548",54.23387097,19.8
"Simpson University",0.4884,44.11,62.65,54688,39708,39708,86.03,809,17,0.6042,7504,12171,100,37.57455268,"27.892086331",70.32374101,29.3
"Saint Mary's College of California",0.703,26.71,41.68,77659,57803,57803,86.53,1947,10,0.8537,11429,14094,61.1,25.52083333,"20.803393214",62.9740519,33.23
"Sonoma State University",0.5759,35.92,26.83,24648,8624,21224,93.43,5166,17,0.792,12780,11482,50.89,41.47465438,"22.006471495",66.68721109,42.43
"Vanguard University of Southern California",0.5677,43.78,56.82,52665,41700,41700,62.44,1933,13,0.7006,9494,8587,100,35.88362069,"21.842307692",66.05769231,47.18
"University of Southern California",0.9183,22.24,23.57,90300,72097,72097,9.81,20443,9,0.9593,17924,49674,58.98,24.71783296,"20.633517495",55.40647198,19.98
"Westmont College",0.7035,20.03,51.14,71150,53584,53584,77.05,1302,10,0.85,10166,22852,63.91,16.875,"19.672032193",60.36217304,23.35
"Whittier College",0.5996,33.91,53.88,63664,51350,51350,80.79,764,8,0.6621,9094,25263,74.38,33.52517986,"19.681578947",57.36842105,39.01
"University of Colorado Denver/Anschutz Medical Campus",0.4615,26.16,24.32,24902,10383,29391,74.68,10519,17,0.7265,12152,43845,64.68,37.94204883,"24.234349593",57.92682927,28.76
"University of Colorado Colorado Springs",0.4693,27.29,33.68,24595,10149,24336,97.35,8697,15,0.6835,9318,11886,62.2,31.34053805,"23.317987152",55.88865096,21.11
"University of Colorado Boulder",0.7419,14.49,24.8,37684,15666,44918,78.08,31939,19,0.9015,13324,18515,75.83,20.35731847,"20.481829574",48.15162907,13.64
"Colorado College",0.8766,14.45,25.73,86921,70734,70734,18.47,2014,9,0.9362,12786,34153,80.48,17.57188498,"19.440729483",62.00607903,10.82
"Colorado School of Mines",0.8171,13.57,31.67,40560,21914,45824,60.69,6155,18,0.9279,14000,20431,72.78,15.44642857,"20.823731728",28.37489252,14.25
"Colorado State University-Fort Collins",0.6651,21.09,31.56,31642,13373,34783,88.54,25538,17,0.8589,11801,16781,74.36,24.21371233,"21.382301548",54.96754868,16.04
"University of Denver",0.756,14.25,27.9,78476,61398,61398,77.81,6025,9,0.8894,13010,19940,52.99,19.03064861,"20.264305177",60.21798365,14.42
"Fort Lewis College",0.3564,34.92,29.95,27030,9958,21526,77.3,3079,14,0.6613,6374,10644,81.56,30.85036256,"21.814338235",52.87990196,15.2
"Colorado Mesa University",0.4061,28.09,30.86,24046,9927,25124,82.03,8143,18,0.7879,7747,10538,60.27,39.37549616,"22.303197884",52.92137533,20.89
"Metropolitan State University of Denver",0.3154,35.51,27.7,24622,11124,30684,98.8,15002,14,0.6289,10105,8036,100,40.46665746,"25.353740664",56.82625199,36.67
"Naropa University",0.3667,51.36,54.35,53397,36620,36620,100,339,10,0.5417,5935,14461,39.25,19.48051948,"24.546938776",66.12244898,14.16
"University of Northern Colorado",0.5124,26.18,36.52,29254,12416,27266,85.85,5598,14,0.7585,8988,10378,56.6,35.173132,"21.62580338",65.10354677,26.74
"Regis University",0.6102,31.83,40.86,54800,46340,46340,86.46,2627,11,0.7143,8318,11821,34.26,36,"27.834658188",64.12294648,37.72
"Colorado State University Pueblo",0.3973,28.57,23.24,23937,9720,17944,94.9,3042,16,0.6425,8216,6672,54.57,40.86781029,"23.515789474",52.99771167,38.95
"Western Colorado University",0.505,12.02,19.67,25736,11318,24434,99.71,1586,17,0.7238,7628,14568,67.89,24.96924969,"20.96287703",41.64733179,11.16
"Albertus Magnus College",0.5148,50.56,73.88,59407,41908,41908,59.31,991,17,0.6686,8245,8051,47.83,53.38235294,"28.57354759",69.4684796,28.66
"University of Bridgeport",0.4119,53.48,75.66,52957,35760,35760,83.02,1534,15,0.6129,7399,6944,36.43,42.4291498,"24.483914209",70.91152815,30.31
"Central Connecticut State University",0.4844,38.36,49.16,24870,13050,16550,73.33,7822,14,0.7711,10902,13976,46.84,38.74829932,"22.070153997",49.13224151,21.13
"Connecticut College",0.8205,14.19,35.44,84623,67242,67242,37.04,1937,9,0.8973,7781,12417,78.49,14.04255319,"19.53346856",66.73427992,11.51
"University of Connecticut",0.8329,25.38,41.56,39426,21044,43712,52.39,19835,17,0.9246,14634,23435,69.63,26.64932932,"20.321323247",53.09655084,16.68
"Eastern Connecticut State University",0.5752,28.68,48.16,31983,13928,17428,82.98,3418,15,0.8374,11210,14453,45.55,34.46535108,"21.013141162",58.11784655,14.72
"Fairfield University",0.843,6.92,43.22,76074,58350,58350,33.29,5373,12,0.9129,13298,15558,100,16.54441728,"19.908876669",64.57187745,8.88
"University of Hartford",0.5438,33.04,65.89,64729,49075,49075,95.75,4146,11,0.829,8428,16235,44.02,28.69217082,"20.24865758",56.71210244,19.05
"Mitchell College",0.4218,38.28,58.52,55621,40490,40490,94.66,377,11,0.5904,7511,7754,100,35.16483516,"20.620805369",43.62416107,19.36
"University of New Haven",0.6307,32.44,72.46,66962,47332,47332,60.38,4841,17,0.7648,11914,9780,24.22,28.5648785,"20.310183213",57.5202386,21.38
"Quinnipiac University",0.757,16.17,59.44,72215,55480,55480,72.15,6531,12,0.8912,11491,13460,35.98,19.93603412,"20.070648464",62.32081911,12.13
"Sacred Heart University",0.7346,15.8,57.17,69289,50404,50404,65.36,7087,15,0.8308,11014,9979,33.12,22.906641,"20.50951087",66.25905797,14.49
"University of Saint Joseph",0.6376,32.65,70.65,59900,47278,47278,78.59,838,10,0.8208,8639,14562,95.73,42.21748401,"23.075046904",96.81050657,18.5
"Southern Connecticut State University",0.4993,40.83,52.22,29673,13438,27378,91.47,6295,11,0.7787,11216,11507,44.33,39.0459364,"21.450685654",63.05379747,25.93
"Trinity College",0.8377,13.77,37.77,87840,70770,70770,29.25,2146,9,0.8995,11642,28943,87.96,17.84946237,"20.398785425",52.8340081,10.25
"Wesleyan University",0.9264,14.19,16.34,89020,70342,70342,16.49,3067,8,0.9488,14100,34729,90.21,19.6013289,"19.821100917",55.81039755,10.79
"Western Connecticut State University",0.5176,35.15,48.59,24877,13401,16901,87.01,3511,11,0.7319,11406,16024,100,37.98052281,"21.581449008",51.40747577,29.71
"Yale University",0.9574,20.39,5.4,88300,67250,67250,3.87,6758,5,0.9878,22590,80541,75,25,"19.532147743",50.06839945,16.59
"Delaware State University",0.391,48.53,52.22,27939,10670,20634,46.58,4398,17,0.6995,8869,8851,54,35.50453817,"20.151656556",66.54223052,8.25
"University of Delaware",0.8055,16.12,49.52,30952,16810,41400,70.6,19071,16,0.9196,14649,21941,99.39,17.0937108,"19.693425606",58.5467128,10.66
"Goldey-Beacom College",0.5743,37.89,34.47,26502,14940,14940,84.51,691,18,0.7181,8592,3874,26.44,42.17252396,"21.212389381",58.7020649,20.98
"American University",0.7549,13.88,37.99,76058,58771,58771,61.96,7266,10,0.882,13722,19197,58.74,15.6343443,"19.730314157",66.09547124,13.96
"The Catholic University of America",0.7947,20.32,47.79,75481,58378,58378,82.78,3154,11,0.8651,11252,22922,52.97,10.12658228,"20.094304388",57.98319328,22.16
"Gallaudet University",0.4726,57.89,38.19,40374,19654,19654,58.06,812,6,0.7114,10939,41824,100,33.85650224,"22.75984252",51.57480315,25.86
"George Washington University",0.8398,15.82,31.58,83856,67710,67710,47.09,11182,13,0.9223,16784,24525,49.29,16.06580329,"21.262289562",63.46801347,13.72
"Georgetown University",0.9481,10.12,17.88,88741,68017,68017,12.91,7569,11,0.9675,18098,37019,47.64,16.06456572,"20.123156342",58.99705015,5.92
"Howard University",0.6996,40,58.79,54630,35810,35810,41.34,10108,13,0.9088,11580,14944,64.25,23.63936229,"20.340277778",71.77579365,6.87
"Trinity Washington University",0.4929,54.49,40.71,33903,26610,26610,99.52,1414,9,0.6923,8291,7929,19.75,53.21821036,"24.540256709",97.89964994,32.11
"Baptist University of Florida",0.5185,39.88,19.03,23159,15000,15000,35.99,360,8,0.45,5515,9992,100,34.14634146,"26.005376344",47.31182796,7.78
"Barry University",0.3787,39.08,44.41,50778,34350,34350,77.24,2212,7,0.6337,8861,11546,28.3,43.55670103,"26.625468165",67.36222579,34.13
"Bethune-Cookman University",0.3052,78.3,82.03,29764,14794,14794,88.24,2732,17,0.6175,7167,11053,76,42.23088164,"20.22826087",60.409699,5.34
"Lynn University",0.5206,23.41,36.3,67880,44480,44480,73.47,2859,16,0.766,6894,7523,43.31,27.0096463,"21.295352324",59.67016492,17
"Albizu University-Miami",0.4,66.37,71.24,28344,13818,13818,75.71,287,12,0.8333,6867,5578,94.44,25.05800464,"26.48",80.42105263,91.64
"University of Central Florida",0.7801,32.34,22.58,23133,6368,22467,40.11,59146,28,0.9235,11575,7831,98.51,35.26400468,"23.064686174",58.91445164,31.76
"Eckerd College",0.6592,20.85,43.66,68944,51884,51884,75.8,1888,11,0.7584,8920,17363,89.18,20.37533512,"21.316455696",65.3164557,10.06
"Edward Waters University",0.2819,75.45,68.35,26617,16366,16366,84.95,1087,14,0.5385,5800,4916,100,50.41322314,"22.303278689",46.31147541,4.51
"Embry-Riddle Aeronautical University-Daytona Beach",0.6655,14.78,28.88,64632,44249,44249,64.81,7860,18,0.8806,10966,14657,87.61,35.54592721,"25.385231459",18.16434407,16.15
"Florida Agricultural and Mechanical University",0.5335,54.31,49.97,23970,5785,17725,20.56,7582,14,0.8918,9244,10680,99.84,36.59409484,"20.577104025",64.79351803,6.08
"Florida Atlantic University",0.6257,33.92,26.34,21522,4879,17324,66.13,23757,24,0.8447,10706,9412,75.25,38.77728309,"23.286651455",61.22837041,28.95
"Flagler College",0.5598,29.07,55.22,45744,29900,29900,80.76,2391,15,0.7553,7796,10177,48.65,28.03738318,"22.130147059",69.26470588,14.85
"Florida College",0.5404,23.14,41.55,34870,20360,20360,69.66,588,14,0.756,7129,15747,100,23.50746269,"19.975524476",52.44755245,8.67
"Florida Institute of Technology",0.6354,21.11,40.08,62440,45900,45900,57.7,3404,13,0.7995,11366,11908,75.54,40.13402829,"28.412055336",52.43741765,16.98
"Florida International University",0.7443,41.37,16.86,21462,6565,18964,54.66,39508,24,0.9185,11817,8518,97.61,41.40373893,"23.494468329",60.69360848,68.44
